id_review,review,title,Suma de score,Suma de service,platform,id_nick
R100000,"Nos encant��! !! Delicioso, excelente atenci��n y el sitio precioso y decorado con muy buen gusto!!! No se la pierdan!!",Muy buena,5,40012,tripadvisor,33carlab
R1000000,Bueno,"",5,265714,googleplaces,104152718589528054490
R1000001,Buen lugar,"",5,265714,googleplaces,115091044120783070217
R1000002,Bueno,"",4,265714,googleplaces,100583222751224055407
R1000003,Se come bien parrillas,"",5,265714,googleplaces,116683193740858649916
R1000004,Rica chuleta,"",3,265714,googleplaces,111299273055655886423
R1000005,Excelente,"",5,265714,googleplaces,106544791013382094293
R1000006,Los muñequitos o,"",3,265714,googleplaces,114381655768381752049
R1000007,Una pollería más,"",3,265714,googleplaces,102779094469722704184
R1000008,Variedad de ensaladas,"",4,265714,googleplaces,100437911991111380404
R1000009,Riquísimo,"",5,265714,googleplaces,100186231417874528823
R100001,La comida es buena de eso nadie lo duda pero es espació en muy chico y el servicio pésimo la atención el la recepción el muy mala y restaurante colapsa cuando esta llenó,Critica,3,40012,tripadvisor,ack B
R1000010,Delicioso,"",5,265714,googleplaces,100407947245275910995
R1000011,Se puede pasar buenos momentos disfrutando la variedad de platos que  nos ofrecen en su carta.,"",5,265714,googleplaces,108232601604052076989
R1000012,Muy buena,"",5,265714,googleplaces,106593726051154742044
R1000013,El pollito riquísimo!!!!😋,"",4,265714,googleplaces,101968084379964048950
R1000014,Mucha gente pero se nota un esfuerzo por la atención. Vale,"",3,265714,googleplaces,102893501094379339800
R1000015,Bueno,"",4,265714,googleplaces,105018744680460444609
R1000016,Lugar bonito,"",5,265714,googleplaces,103810931777507500653
R1000017,Falta higiene,"",2,265714,googleplaces,117946238314383164397
R1000018,No pasa nada con las ensaladas ni sus vinagretas,"",2,265714,googleplaces,107758507391571535492
R1000019,Malo no habia ensalada,"",1,265714,googleplaces,115688972869021214792
R100002,"Me gusta de este lugar sus anticuchos, y las brochetas. Es un restaurante que no se caracteriza por su servicio no quiero decir que sea malo solo que no es tampoco parte de sus distintivos; sin embargo el sabor de la comida es buena y también recomiendo la chicha morada.Es incómodo a veces el tener que esperar para ser atendido especialmente cuando son grupos grandes pero imagino que es parte de la demanda. El lugar es un poco pequeño de espacio y a veces demoran un poquito en traer el plato, sin embargo si quieres probar unos buenos anticuchos, picarones sin irte a Barranco, este es el lugar.",Anticuchos en familia...,4,40012,tripadvisor,iver-Peruvian
R1000020,Cambio sus papas... Ahora malas,"",4,265714,googleplaces,101920378831702328507
R1000021,Bien,"",5,265714,googleplaces,111977584461945023879
R1000022,Buen gusto...,"",5,265714,googleplaces,117358899722653010004
R1000023,Estacionamiento incomodo,"",3,265714,googleplaces,102142572627115125344
R1000024,Excelente,"",3,265714,googleplaces,114769067603170305913
R1000025,Pollos a la Brasa,"",3,265714,googleplaces,116974685607822441529
R1000026,La atención es lenta y la comida muy condimentada,"",3,265714,googleplaces,113396315222595310971
R1000027,Pollo y chaufa,"",5,265714,googleplaces,104565816492054332985
R1000028,No me gusto,"",2,265714,googleplaces,101318703575376511322
R1000029,Se demoran mucho,"",4,265714,googleplaces,110997242858157387019
R100003,"Muy rico el pollo a la brasa, las papas fritas excelentes y la ensalada estuvo buena por su salsa. El emoliente estuvo rico pero un tanto dulce. Una buena opción, para comer diferente. Un poco elevado el precio.",Pollo a la brasa,3,40012,tripadvisor,IRMartinod
R1000030,Delicioso,"",4,265714,googleplaces,105546451350141280015
R1000031,Buenas parrillas,"",4,265714,googleplaces,101956640951579174704
R1000032,"Muy caro, mal sabor y barra de ensaladas muy pobre","",2,265714,googleplaces,100261937539420426568
R1000033,Excelente,"",5,265714,googleplaces,114778723836994566377
R1000034,. 😋,"",5,265714,googleplaces,116234507730372669531
R1000035,Sabroso,"",5,265714,googleplaces,109279744556415911813
R1000036,Rico,"",5,265714,googleplaces,105665051713590389020
R1000037,Riquísimo,"",5,265714,googleplaces,111794011501543372587
R1000038,Buenazooo,"",5,265714,googleplaces,105960971933386577668
R1000039,Rico,"",4,265714,googleplaces,100575290509851509320
R100004,"Los anticuchos y el pollo a la brasa extraordinarios !! A veces hay que esperar... Pero vale la pena. Si alguien va a probar anticuchos por primera vez, este es el lugar!!!",Los mejores anticuchos,5,40012,tripadvisor,icardoSalcedo
R1000040,Rico !!,"",4,265714,googleplaces,106613902037438024023
R1000041,Regular,"",3,265714,googleplaces,114381301096297691557
R1000042,Estuve en el Sopranos,"",4,265714,googleplaces,104282418181387819068
R1000043,Mala atención,"",1,265714,googleplaces,101016931796703562311
R1000044,Chevere,"",4,265714,googleplaces,107777999387682569339
R1000045,Bueno,"",5,265714,googleplaces,108992348833518592606
R1000046,Bueno,"",4,265714,googleplaces,114971021647710005640
R1000047,Pollos,"",3,265714,googleplaces,108285520196632017466
R1000048,Popular,"",3,265714,googleplaces,117242241876744495020
R1000049,Bueno,"",4,265714,googleplaces,110818094797777923704
R100005,"Uhhmmmm muy rico el pollo a leña y los anticuchos ni que decir, ambiente es acogedor y la vajilla me recuerda a mi abuelita, visiten la PANKA VILLARAN",LO MAXIMOOO,5,40012,tripadvisor,ntuaneth2014
R1000050,Rico..,"",4,265714,googleplaces,112382139336489214899
R1000051,Bonito lugar,"",4,265714,googleplaces,110677203879575909406
R1000052,Rico,"",4,265714,googleplaces,104335996770531391555
R1000053,De lo peor. Demasiada gente. Demora en la atención.,"",1,265714,googleplaces,115002845663837583425
R1000054,Excelente,"",5,265714,googleplaces,109065086720234261794
R1000055,Lo bueno es que atienden hasta las 3:45am,"",5,265714,googleplaces,112883764013406716232
R1000056,Pollo a la brasa y lomo saltado,"",3,265714,googleplaces,101692877988425737212
R1000057,Buena,"",5,265714,googleplaces,105060244575534750707
R1000058,Ahora te dan muy pocas papas!!,"",3,265714,googleplaces,116988600432017684699
R1000059,"Atención muy lenta, mal servicio en caja y recojo para casa.","",1,265714,googleplaces,104476886710364617598
R100006,"Siempre que paso por la Panka de Villarán hay gente, es por eso que me animé a probar lo que todo Lima dice: ""que tienen los mejores anticuchos del Perú"". Fuimos para celebrar un cumpleaños y desde que entramos nos trataron súper bien, tanto la anfitriona como los mozos son muy amables. La decoración es moderna, entra mucho en los detalles, desde el diseño de la carta, las pizarrita, la vajilla, nos encantó!!Probamos el choclo con queso, una delicia!! tienen que probarlo, es delicioso!! Luego llegaron los anticuchos, ES-PEC-TA-CU-LA-RES!!! a partir de ese día, no voy a ningún otro restaurante que no sea ahí! Mi novio se pidió una ensalada con pollo, es LA ensalada, viene en un bowl enorme, una muy buena opción para este verano.La relación calidad- precio es muy razonable, encima la chicha es riquísima y tb tienen una limonada con hierba luisa de dioses.Para completar, por que para mí es muy importante este tema, la limpieza! tanto el baño como el salón estuvo limpio, aún cuando el restaurante estaba lleno. Muy importante!!",Los rumores eran ciertos: tienen los mejores anticuchos del Perú,5,40012,tripadvisor,alatea1983
R1000060,Buen lugar para reuniones,"",3,265714,googleplaces,112463277241191002876
R1000061,Excelente la atención y el lugar,"",5,265714,googleplaces,114577652690113461577
R1000062,Fenomenal,"",5,265714,googleplaces,102931085261778090744
